dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy,score_cocktails_default,score_cocktails_random
1486,nomao,34465.0,118.0,29.0,15.0,0.0,0.0,0.952429321144405,0.9286270526493992,0.9657694261046216,0.938953783646521,0.9544608092094128,0.9625529033350264,,19688.0,False,,0.9586930760115118,0.9612324360927712
1489,phoneme,5404.0,5.0,0.0,0.0,0.0,0.0,0.8510504201680671,0.7373949579831933,0.8737394957983193,0.8336134453781513,0.8394957983193277,0.8831932773109245,,3172.0,False,,0.8581932773109243,0.8623949579831933
1503,spoken-arabic-digit,263256.0,14.0,0.0,0.0,0.0,0.0,0.5326933333333332,0.5192866666666667,0.52952,0.52324,0.5353333333333333,0.5652133333333332,,52932.0,False,,0.5829333333333333,0.5907413265844143
1526,wall-robot-navigation,5456.0,4.0,0.0,0.0,0.0,0.0,0.9806195393169184,0.972041302621128,0.9996822875297856,1.0,0.9926926131850674,1.0,,4194.0,False,,0.9912629070691024,0.9896743447180302
1590,adult,48842.0,14.0,8.0,0.0,0.0,0.0,0.7550035825173156,0.7418915691425841,0.7747551946501074,0.7038452352519704,0.7565798901361356,0.7373775973250538,,23374.0,False,,0.7567470742775256,0.759732505373776
4134,Bioresponse,3751.0,1776.0,0.0,522.0,0.0,0.0,0.7507274490785645,0.7487875848690593,0.7804073714839961,0.6973811833171678,0.7738118331716779,0.7840931134820562,,3434.0,False,,0.7691561590688651,0.7778855480116392
4541,Diabetes130US,101766.0,49.0,36.0,2.0,0.0,0.0,0.63378,0.6173266666666667,0.6549133333333333,0.5726933333333334,0.6324333333333334,0.6400533333333334,,71090.0,False,,0.5998666666666667,0.6062043144945624
23517,numerai28.6,96320.0,21.0,0.0,0.0,0.0,0.0,0.5092466666666666,0.5177466666666667,0.5108466666666666,0.5004466666666667,0.5055866666666666,0.5089666666666668,,95324.0,False,,0.5061666666666667,0.5172735760971056
40685,shuttle,58000.0,9.0,0.0,0.0,0.0,0.0,0.99180082366155,0.9803444402845376,1.0,0.999850243354549,0.9997379258704604,1.0,,17806.0,False,,1.0,0.9943841257955822
41147,albert,425240.0,78.0,52.0,0.0,11.0,201038.0,0.6238866666666667,0.6052333333333333,0.6326866666666667,0.55016,0.6208,0.62486,,202948.0,False,,0.5746,0.6431378895773606
41150,MiniBooNE,130064.0,50.0,0.0,0.0,0.0,0.0,0.9186133333333334,0.8517399999999998,0.9338533333333334,0.8692,0.9231466666666666,0.92506,,72998.0,False,,0.9122666666666668,0.9258767543708404
41162,kick,72983.0,32.0,18.0,0.0,0.0,383.0,0.6425714819659877,0.6144645860586806,0.6299009530928797,0.5705475612035134,0.650943748831994,0.6327415436367034,,17836.0,False,,0.6211923005045786,0.6460474677630349
41168,jannis,83733.0,54.0,0.0,0.0,0.0,0.0,0.72536,0.7274866666666667,0.7785466666666666,0.6791466666666667,0.7233066666666668,0.7713533333333334,,57580.0,False,,0.7307666666666667,0.7699859088774073
41972,Indian_pines,9144.0,220.0,0.0,0.0,0.0,0.0,0.907323568575233,0.8785619174434087,0.9118508655126496,0.7669773635153129,0.9185086551264978,0.866444740346205,,5004.0,False,,0.9194407456724368,0.9440745672436752
42206,porto-seguro,595212.0,37.0,25.0,3.0,0.0,142164.0,0.5638595400870106,0.5648228713486637,0.5648228713486638,0.5168324010772737,0.5608038118914439,0.5474725502382431,,34308.0,False,,0.5271390097368966,0.5705407085146054
42343,KDD98,82318.0,477.0,136.0,11.0,27.0,8339.0,0.5236584916098102,0.5445325465609441,0.5594689286372857,0.5155449013461184,0.5224045731145123,0.5478148626221648,,18076.0,False,,0.525723769131477,0.5119409465914025
42395,SantanderCustomerSatisfaction,200000.0,201.0,0.0,0.0,0.0,0.0,0.7300682648039372,0.7749801555802508,0.7871328782346405,0.5800365137323384,0.7191062073344975,0.7402841720908081,,40196.0,False,,0.7388871249404667,0.74738053659311
42468,hls4ml_lhc_jets_hlf,830000.0,16.0,0.0,0.0,0.0,0.0,0.8986733333333333,0.8879733333333334,0.89606,0.84284,0.89962,0.8910066666666665,,334250.0,False,,0.8914666666666666,0.9040125293657008
42477,default-of-credit-card-clients,30000.0,23.0,0.0,2.0,0.0,0.0,0.6993972877950778,0.6693119035660472,0.6951783023606227,0.6207433450527373,0.7059266700150678,0.699347061778001,,13272.0,False,,0.688598694123556,0.7149673530889
42769,Higgs,1000000.0,28.0,0.0,4.0,0.0,0.0,0.6761733333333334,0.6355533333333332,0.71164,0.61684,0.6837933333333334,0.7056799999999999,,940160.0,False,,0.661,0.7086712474909772
